# Complete Arabic Translation for Hotel Management
# Format: "English","Arabic","Context"

# Main Modules
"Base Rate per Night","السعر الأساسي لليلة",""
"Weekend Rate per Night","سعر عطلة نهاية الأسبوع",""
"Seasonal Markup %","نسبة الزيادة الموسمية %",""
"Seasonal Markup","الزيادة الموسمية",""
"Minimum Stay (Nights)","الحد الأدنى للإقامة (ليالي)",""
"Minimum Stay Nights","الحد الأدنى لعدد الليالي",""
"Apply on Weekends Only","تطبيق في عطلات نهاية الأسبوع فقط",""
"Priority","الأولوية",""

# Owner Fields
"Owner Name","اسم المالك",""
"Supplier","المورد",""
"Supplier (Auto-Created)","المورد (تم إنشاؤه تلقائياً)",""
"Ownership Type","نوع الملكية",""
"Full","كامل",""
"Shared","مشترك",""
"Contracted","تعاقدي",""
"Commission Rate","نسبة العمولة",""
"Commission Rate (%)","نسبة العمولة (%)",""
"Contact Info","معلومات الاتصال",""

# Owner Settlement Fields
"Settlement Details","تفاصيل التسوية",""
"Settlement ID","رقم التسوية",""
"Property Unit (Optional)","وحدة العقار (اختياري)",""
"Leave empty to settle all units","اتركه فارغاً لتسوية جميع الوحدات",""
"Period Start","بداية الفترة",""
"Period End","نهاية الفترة",""
"Settlement Date","تاريخ التسوية",""
"Calculation Method","طريقة الحساب",""
"Configure how commission and expenses are calculated","تحديد كيفية حساب العمولة والمصروفات",""
"Commission Calculation Method","طريقة حساب العمولة",""
"On Gross Revenue","على الإيراد الإجمالي",""
"On Net Revenue (After Expenses)","على الإيراد الصافي (بعد المصروفات)",""
"Method A: Commission on gross revenue | Method B: Commission after expenses","الطريقة أ: عمولة على الإيراد الإجمالي | الطريقة ب: عمولة بعد المصروفات",""
"Expense Allocation","تخصيص المصروفات",""
"Owner Pays All","المالك يدفع الكل",""
"Management Pays All","الإدارة تدفع الكل",""
"Shared Based on Rules","مشتركة حسب القواعد",""
"Who pays which expenses","من يدفع أي مصروفات",""
"Owner Pays Maintenance","المالك يدفع الصيانة",""
"Include maintenance costs in owner expenses","تضمين تكاليف الصيانة في مصروفات المالك",""
"Owner Pays Cleaning","المالك يدفع النظافة",""
"Include cleaning costs in owner expenses","تضمين تكاليف النظافة في مصروفات المالك",""
"Owner Pays Utilities","المالك يدفع المرافق",""
"Include utility costs in owner expenses","تضمين تكاليف المرافق في مصروفات المالك",""
"Financial Summary","الملخص المالي",""
"Total Revenue","إجمالي الإيرادات",""
"Total Expenses","إجمالي المصروفات",""
"Owner Share of Expenses","نصيب المالك من المصروفات",""
"Expenses charged to owner based on allocation rules","المصروفات المحملة على المالك حسب قواعد التخصيص",""
"Management Share of Expenses","نصيب الإدارة من المصروفات",""
"Expenses paid by management","المصروفات التي تدفعها الإدارة",""
"Commission Base Amount","قيمة أساس العمولة",""
"Amount on which commission is calculated","المبلغ الذي تحسب عليه العمولة",""
"Commission Amount","قيمة العمولة",""
"Net Payable to Owner","صافي المستحق للمالك",""
"Revenue & Expense Breakdown","تفصيل الإيرادات والمصروفات",""
"Revenue Details","تفاصيل الإيرادات",""
"Expense Details","تفاصيل المصروفات",""
"Accounting Integration","التكامل المحاسبي",""
"Journal Entry","قيد يومية",""
"Payment Entry","سند دفع",""
"Posted Date","تاريخ الترحيل",""
"Paid Date","تاريخ الدفع",""
"Draft","مسودة",""
"Calculated","محسوبة",""
"Posted","مرحلة",""
"Paid","مدفوعة",""
"Cancelled","ملغاة",""
"Notes","ملاحظات",""
"Calculation Breakdown","تفصيل الحسابات",""
"Detailed breakdown of how amounts were calculated","تفصيل دقيق لكيفية حساب المبالغ",""
"Internal Notes","ملاحظات داخلية",""

# Owner Settlement Child Tables
"Reservation","الحجز",""
"Check In","تسجيل الدخول",""
"Check Out","تسجيل الخروج",""
"Nights","الليالي",""
"Amount","المبلغ",""
"Expense Type","نوع المصروف",""
"Reference DocType","نوع المستند المرجعي",""
"Reference Document","المستند المرجعي",""
"Expense Date","تاريخ المصروف",""
"Paid By","مدفوع بواسطة",""
"Owner","المالك",""
"Management","الإدارة",""
"Who pays this expense","من يدفع هذا المصروف",""

# Expense Types
"Maintenance","صيانة",""
"Cleaning","تنظيف",""
"Utilities","مرافق",""
"Supplies","مستلزمات",""
"Other","أخرى",""

# Guest Fields
"Guest Name","اسم الضيف",""
"Customer (Auto-Created)","العميل (تم إنشاؤه تلقائياً)",""
"Customer","عميل",""
"National ID","الرقم القومي",""
"National ID / Passport","الرقم القومي / جواز السفر",""
"Passport","جواز سفر",""
"Phone","الهاتف",""
"Email","البريد الإلكتروني",""
"Guest Statistics","إحصائيات الضيف",""
"Total Visits","إجمالي الزيارات",""
"Lifetime Revenue","إجمالي الإيرادات",""
"Last Visit Date","تاريخ آخر زيارة",""
"Notes & Preferences","ملاحظات وتفضيلات",""
"Notes (Preferences, Allergies, VIP Status)","ملاحظات (التفضيلات، الحساسية، حالة VIP)",""

# Reservation Fields
"Amended From","معدل من",""
"Primary Guest","الضيف الرئيسي",""
"Check-in","تسجيل الدخول",""
"Check-out","تسجيل الخروج",""
"Units Reserved","الوحدات المحجوزة",""
"Guests","الضيوف",""
"Services Consumed","الخدمات المستهلكة",""
"Status & Billing","الحالة والفوترة",""
"Sales Invoice","فاتورة المبيعات",""
"Total Amount","المبلغ الإجمالي",""
"Payment Status","حالة الدفع",""
"Unpaid","غير مدفوع",""
"Partially Paid","مدفوع جزئياً",""
"Paid","مدفوع بالكامل",""

# Reservation Status
"Confirmed","مؤكد",""
"Checked-In","تم تسجيل الدخول",""
"Checked-Out","تم تسجيل الخروج",""

# Reservation Unit Fields
"Unit","الوحدة",""
"Rate per Night","سعر الليلة",""
"Qty Nights","عدد الليالي",""
"Linked Guest","الضيف المرتبط",""

# Reservation Guest Fields
"Guest","ضيف",""
"Relation to Primary","العلاقة بالضيف الرئيسي",""
"Relation","العلاقة",""
"Self","النفس",""
"Spouse","الزوج/الزوجة",""
"Child","طفل",""
"Colleague","زميل",""
"Linked Unit","الوحدة المرتبطة",""
"Is Primary Guest","الضيف الرئيسي",""

# Reservation Service Fields
"Service Item","صنف الخدمة",""
"Quantity","الكمية",""
"Qty","الكمية",""
"Rate","السعر",""
"Posted to Invoice","مرحل للفاتورة",""
"Service Date","تاريخ الخدمة",""

# Housekeeping Task Fields
"Task Type","نوع المهمة",""
"Inspection","فحص",""
"Deep Cleaning","تنظيف عميق",""
"Setup","إعداد",""
"Turndown","تجهيز مسائي",""
"Low","منخفض",""
"Medium","متوسط",""
"High","عالي",""
"Urgent","عاجل",""
"Scheduled Date","تاريخ الجدولة",""
"Assigned To","مسند إلى",""
"Pending","معلق",""
"In Progress","قيد التنفيذ",""
"Completed","مكتمل",""
"Failed","فشل",""
"Task Details","تفاصيل المهمة",""
"Completion Details","تفاصيل الإنجاز",""
"Completed By","أنجز بواسطة",""
"Completion Date","تاريخ الإنجاز",""
"Completion Time","وقت الإنجاز",""

# Maintenance Request Fields
"Issue Type","نوع المشكلة",""
"Plumbing","سباكة",""
"Electrical","كهرباء",""
"HVAC","تكييف",""
"Furniture","أثاث",""
"Appliance","أجهزة",""
"Structural","إنشائي",""
"Reported By","تم الإبلاغ بواسطة",""
"Reported Date","تاريخ الإبلاغ",""
"Issue Description","وصف المشكلة",""
"Assignment & Cost","التعيين والتكلفة",""
"Estimated Cost","التكلفة المقدرة",""
"Actual Cost","التكلفة الفعلية",""
"Resolution","الحل",""
"Resolution Notes","ملاحظات الحل",""
"Resolved By","تم الحل بواسطة",""
"Resolution Date","تاريخ الحل",""
"Expense Tracking","تتبع المصروفات",""
"Purchase Invoice","فاتورة شراء",""
"Open","مفتوح",""
"Resolved","محلول",""
"Closed","مغلق",""

# Reports
"Guest History Report","تقرير تاريخ الضيوف",""
"Occupancy Report","تقرير الإشغال",""
"Revenue by Unit","الإيرادات حسب الوحدة",""
"Owner Settlement Summary","ملخص تسويات الملاك",""

# Report Filters
"From Date","من تاريخ",""
"To Date","إلى تاريخ",""
"Minimum Visits","الحد الأدنى للزيارات",""
"Min Visits","الحد الأدنى للزيارات",""

# Report Columns
"Total Nights","إجمالي الليالي",""
"Last Visit","آخر زيارة",""
"Average Spend per Visit","متوسط الإنفاق لكل زيارة",""
"Avg Spend per Visit","متوسط الإنفاق للزيارة",""
"Total Units","إجمالي الوحدات",""
"Available Nights","الليالي المتاحة",""
"Booked Nights","الليالي المحجوزة",""
"Occupancy Percentage","نسبة الإشغال",""
"Occupancy %","نسبة الإشغال %",""
"Revenue","الإيرادات",""
"Total Reservations","إجمالي الحجوزات",""
"Average Rate per Night","متوسط السعر لليلة",""
"Avg Rate per Night","متوسط سعر الليلة",""

# Common Actions
"Save","حفظ",""
"Submit","إرسال",""
"Cancel","إلغاء",""
"Amend","تعديل",""
"Delete","حذف",""
"Print","طباعة",""
"Export","تصدير",""
"Refresh","تحديث",""
"New","جديد",""
"Edit","تعديل",""
"View","عرض",""
"List","قائمة",""
"Report","تقرير",""
"Dashboard","لوحة التحكم",""
"Settings","الإعدادات",""
"Search","بحث",""
"Filter","تصفية",""
"Sort","ترتيب",""
"Actions","إجراءات",""

# Common Fields
"Created","تم الإنشاء",""
"Modified","تم التعديل",""
"Modified By","معدل بواسطة",""
"Creation Date","تاريخ الإنشاء",""
"Last Modified","آخر تعديل",""
"Name","الاسم",""
"Title","العنوان",""

# Workspace - Quick Stats
"Quick Stats","إحصائيات سريعة",""
"Available Units","الوحدات المتاحة",""
"Today's Arrivals","وصول اليوم",""
"Current Occupancy","الإشغال الحالي",""
"Pending Tasks","المهام المعلقة",""
"Expected Arrivals","الوصول المتوقع",""
"Expected Departures","المغادرة المتوقعة",""
"In-House Guests","الضيوف المقيمون",""
"Total Revenue (This Month)","إجمالي الإيرادات (هذا الشهر)",""
"Pending Settlements","التسويات المعلقة",""
"Occupancy Rate","معدل الإشغال",""

# Workspace - Sections
"Main Modules","الوحدات الرئيسية",""
"Operations","العمليات",""
"Reports","التقارير",""
"Quick Actions","إجراءات سريعة",""
"Today's Activity","نشاط اليوم",""
"Guest Management","إدارة الضيوف",""
"My Properties","عقاراتي",""
"Financial Reports","التقارير المالية",""
"Maintenance & Upkeep","الصيانة والتنظيف",""
"Today's Overview","نظرة عامة على اليوم",""
"Financial Overview","نظرة مالية عامة",""

# Workspace - Links
"Properties","العقارات",""
"Property Units","وحدات العقارات",""
"Reservations","الحجوزات",""
"Owners","الملاك",""
"Owner Settlements","تسويات الملاك",""
"Housekeeping Tasks","مهام النظافة",""
"Maintenance Requests","طلبات الصيانة",""
"Occupancy Report","تقرير الإشغال",""
"Guest History","تاريخ الضيوف",""
"New Reservation","حجز جديد",""
"New Guest","ضيف جديد",""
"Check Availability","التحقق من التوفر",""
"Check-Ins","تسجيل الدخول",""
"Check-Outs","تسجيل الخروج",""
"All Guests","جميع الضيوف",""
"All Reservations","جميع الحجوزات",""
"My Units","وحداتي",""
"Unit Reservations","حجوزات الوحدات",""
"Settlements","التسويات",""
"Revenue Reports","تقارير الإيرادات",""
"Cleaning Status","حالة النظافة",""

# Messages
"Settlement calculated successfully","تم حساب التسوية بنجاح",""
"Please select an Owner first","يرجى اختيار مالك أولاً",""
"Please select Period Start and Period End","يرجى اختيار بداية ونهاية الفترة",""
"Check-in completed successfully","تم تسجيل الدخول بنجاح",""
"Check-out completed successfully","تم تسجيل الخروج بنجاح",""
"Reservation must be Confirmed before check-in","يجب تأكيد الحجز قبل تسجيل الدخول",""
"Reservation must be Confirmed before check-in. Current status: {0}","يجب تأكيد الحجز قبل تسجيل الدخول. الحالة الحالية: {0}",""
"Cannot check-in before check-in date","لا يمكن تسجيل الدخول قبل تاريخ الوصول",""
"Unit {0} is not available for selected dates","الوحدة {0} غير متاحة للتواريخ المحددة",""
"Invoice {0} created successfully","تم إنشاء الفاتورة {0} بنجاح",""
"Sales Invoice {0} created","تم إنشاء فاتورة المبيعات {0}",""
"Period End must be after Period Start","يجب أن تكون نهاية الفترة بعد بدايتها",""
"Commission rate must be between 0 and 100","يجب أن تكون نسبة العمولة بين 0 و 100",""
"Warning: Net Payable is negative. Owner owes company.","تحذير: صافي المستحق سلبي. المالك مدين للشركة.",""
"Warning: Net Payable is negative ({0}). Owner owes company.","تحذير: صافي المستحق سلبي ({0}). المالك مدين للشركة.",""
"Task marked as completed","تم تحديد المهمة كمكتملة",""
"Request marked as resolved","تم تحديد الطلب كمحلول",""
"Customer {0} created successfully","تم إنشاء العميل {0} بنجاح",""
"Supplier {0} created successfully","تم إنشاء المورد {0} بنجاح",""
"Unit {0} is now Available","الوحدة {0} متاحة الآن",""
"Unit {0} status changed to Maintenance","تم تغيير حالة الوحدة {0} إلى صيانة",""
"Check-out date must be after check-in date","يجب أن يكون تاريخ المغادرة بعد تاريخ الوصول",""
"Check-in date cannot be in the past","لا يمكن أن يكون تاريخ الوصول في الماضي",""
"Warning: Primary guest is linked to a different customer","تحذير: الضيف الرئيسي مرتبط بعميل مختلف",""
"At least one unit must be reserved","يجب حجز وحدة واحدة على الأقل",""
"Invalid email format","صيغة البريد الإلكتروني غير صحيحة",""
"Phone number is required","رقم الهاتف مطلوب",""
"Please enter a valid email address","يرجى إدخال عنوان بريد إلكتروني صحيح",""
"Rate per night must be positive","يجب أن يكون سعر الليلة موجباً",""
"Max Occupancy must be a positive number","يجب أن يكون الحد الأقصى للإشغال رقماً موجباً",""
"Default Rate must be a positive number","يجب أن يكون السعر الافتراضي رقماً موجباً",""
"Valid To date must be after Valid From date","يجب أن يكون تاريخ الانتهاء بعد تاريخ البدء",""
"Base Rate must be positive","يجب أن يكون السعر الأساسي موجباً",""
"Weekend Rate must be positive","يجب أن يكون سعر عطلة نهاية الأسبوع موجباً",""
"Revenue Account must be an Income Account type","يجب أن يكون حساب الإيرادات من نوع حساب الدخل",""
"Expense Account must be an Expense Account type","يجب أن يكون حساب المصروفات من نوع حساب المصروفات",""
"User {0} does not exist","المستخدم {0} غير موجود",""
"User {0} is disabled","المستخدم {0} معطل",""
"Owner {0} does not exist","المالك {0} غير موجود",""
"No units found for owner {0}","لم يتم العثور على وحدات للمالك {0}",""
"Invalid date range","نطاق التاريخ غير صحيح",""
"Scheduled date is in the past","تاريخ الجدولة في الماضي",""
"Critical priority issues should be assigned immediately","يجب تعيين المشاكل ذات الأولوية العالية فوراً",""
"This unit will be marked as under Maintenance and blocked from new reservations","سيتم وضع علامة على هذه الوحدة كصيانة ومنع الحجوزات الجديدة",""
"Failed to create customer: {0}","فشل إنشاء العميل: {0}",""
"Failed to create supplier: {0}","فشل إنشاء المورد: {0}",""
"Failed to mark task as completed: {0}","فشل تحديد المهمة كمكتملة: {0}",""
"Failed to mark request as resolved: {0}","فشل تحديد الطلب كمحلول: {0}",""
"Check-in failed: {0}","فشل تسجيل الدخول: {0}",""
"Check-out failed: {0}","فشل تسجيل الخروج: {0}",""
"Failed to create invoice: {0}","فشل إنشاء الفاتورة: {0}",""

# Button Labels
"View Customer","عرض العميل",""
"Reservation History","تاريخ الحجوزات",""
"View All Reservations","عرض جميع الحجوزات",""
"Mark as Completed","تحديد كمكتمل",""
"View Unit","عرض الوحدة",""
"Assign to Me","تعيين لي",""
"Mark as Resolved","تحديد كمحلول",""
"View Invoice","عرض الفاتورة",""
"View Supplier","عرض المورد",""
"View Properties","عرض العقارات",""
"View Settlements","عرض التسويات",""
"View Units","عرض الوحدات",""
"View Reservations","عرض الحجوزات",""
"View Owner","عرض المالك",""
"View Journal Entry","عرض قيد اليومية",""
"View Payment","عرض الدفع",""
"Calculate Settlement","حساب التسوية",""
"Post to Accounting","ترحيل للمحاسبة",""
"Create Payment","إنشاء دفع",""
"Preview Settlement Report","معاينة تقرير التسوية",""
"Test Rate","اختبار السعر",""
"Check In","تسجيل دخول",""
"Check Out","تسجيل خروج",""
"Unit Statistics","إحصائيات الوحدة",""
"Maintenance History","تاريخ الصيانة",""
"Housekeeping Tasks","مهام النظافة",""

# Prompt/Dialog Labels
"Add Resolution Notes","إضافة ملاحظات الحل",""
"Resolution Notes","ملاحظات الحل",""
"Resolve Request","حل الطلب",""
"Check-in Date","تاريخ تسجيل الدخول",""
"Test Rate Calculation","اختبار حساب السعر",""
"Rate Test Result","نتيجة اختبار السعر",""
"Rate Calculation","حساب السعر",""
"Date","التاريخ",""
"Is Weekend","عطلة نهاية الأسبوع",""
"Rate Source","مصدر السعر",""
"Plan Name","اسم الخطة",""
"Default","افتراضي",""
"Final Rate","السعر النهائي",""
"Unit Type Default","افتراضي نوع الوحدة",""
"Rate Plan","خطة الأسعار",""

# Additional Alert Messages
"Property Required","العقار مطلوب",""
"Please select a Property first to see applicable Unit Types","يرجى اختيار عقار أولاً لعرض أنواع الوحدات المطبقة",""
"Unit Type cleared. Please select again based on Property Type.","تم مسح نوع الوحدة. يرجى الاختيار مرة أخرى بناءً على نوع العقار.",""
"Rate set from Unit Type: {0}","تم تعيين السعر من نوع الوحدة: {0}",""
"Max Occupancy for this type: {0} persons","الحد الأقصى للإشغال لهذا النوع: {0} أشخاص",""
"Commission Rate must be between 0 and 100","يجب أن تكون نسبة العمولة بين 0 و 100",""
"No reservation history found","لم يتم العثور على تاريخ حجوزات",""
"No reservations found for this unit","لم يتم العثور على حجوزات لهذه الوحدة",""
"Statistics for {0}","إحصائيات {0}",""
"Lifetime Revenue: {0}","إجمالي الإيرادات: {0}",""
"Total Visits: {0}","إجمالي الزيارات: {0}",""
"Revenue: {0}","الإيرادات: {0}",""
"Expenses: {0}","المصروفات: {0}",""
"Commission: {0}","العمولة: {0}",""
"Net Payable: {0}","صافي المستحق: {0}",""
"Priority: {0}","الأولوية: {0}",""

# Status Indicators
"Active Now","نشط الآن",""
"Scheduled","مجدول",""
"Expired","منتهي",""
"Inactive","غير نشط",""
"Active","نشط",""

# Settlement Report
"Settlement Report","تقرير التسوية",""
"Settlement Report Preview","معاينة تقرير التسوية",""
"Period","الفترة",""
"Revenue Breakdown","تفصيل الإيرادات",""
"Expense Breakdown","تفصيل المصروفات",""
"No revenue data","لا توجد بيانات إيرادات",""
"No expense data","لا توجد بيانات مصروفات",""
"Type","النوع",""

# Calculation Notes
"=== Calculation Method ===","=== طريقة الحساب ===",""
"Commission Method:","طريقة العمولة:",""
"Expense Allocation:","تخصيص المصروفات:",""
"=== Revenue ===","=== الإيرادات ===",""
"=== Expenses ===","=== المصروفات ===",""
"- Owner Pays:","- المالك يدفع:",""
"- Management Pays:","- الإدارة تدفع:",""
"=== Commission Calculation ===","=== حساب العمولة ===",""
"Base Amount:","المبلغ الأساسي:",""
"Formula:","الصيغة:",""
"=== Final Calculation ===","=== الحساب النهائي ===",""
"Net Payable = Revenue - Owner Expenses - Commission","صافي المستحق = الإيرادات - مصروفات المالك - العمولة",""
"Net Payable = (Revenue - Owner Expenses) - Commission","صافي المستحق = (الإيرادات - مصروفات المالك) - العمولة",""

# Confirm Messages
"This will create a Journal Entry to post the settlement. Continue?","سيتم إنشاء قيد يومية لترحيل التسوية. هل تريد المتابعة؟",""
"Posted successfully. Journal Entry: {0}","تم الترحيل بنجاح. قيد اليومية: {0}",""
"Owner must have a linked Supplier","يجب أن يكون للمالك مورد مرتبط",""
"Payment for Owner Settlement: {0}","دفع تسوية المالك: {0}",""

# Misc Labels
"Today","اليوم",""
"Yesterday","أمس",""
"This Week","هذا الأسبوع",""
"This Month","هذا الشهر",""
"Last Month","الشهر الماضي",""
"This Year","هذا العام",""
"Yes","نعم",""
"No","لا",""
"All","الكل",""
"None","لا شيء",""
"Select","اختر",""
"Clear","مسح",""
"Apply","تطبيق",""
"Reset","إعادة تعيين",""
"Close","إغلاق",""
"OK","موافق",""
"Back","رجوع",""
"Next","التالي",""
"Previous","السابق",""
"First","الأول",""
"Last","الأخير",""
"Loading...","جارٍ التحميل...",""
"Please wait...","يرجى الانتظار...",""
"Calculating settlement...","جارٍ حساب التسوية...",""
"Posting to accounting...","جارٍ الترحيل للمحاسبة...",""

# Additional Field Labels
"Column Break","فاصل عمود",""
"Section Break","فاصل قسم",""
"Table","جدول",""
"Link","رابط",""
"Data","بيانات",""
"Text","نص",""
"Small Text","نص صغير",""
"Text Editor","محرر نص",""
"Int","عدد صحيح",""
"Float","عدد عشري",""
"Currency","عملة",""
"Date","تاريخ",""
"Time","وقت",""
"Select","اختيار",""
"Check","علامة",""
"Dynamic Link","رابط ديناميكي",""

# Print Format
"Owner Settlement Print","طباعة تسوية المالك",""

# Installation Messages
"✓ Custom field 'property_unit' created in Sales Invoice Item","✓ تم إنشاء الحقل المخصص 'property_unit' في بند فاتورة المبيعات",""
"✓ Created Item Group: Services","✓ تم إنشاء مجموعة الأصناف: الخدمات",""
"✓ Created UOM: {0}","✓ تم إنشاء وحدة القياس: {0}",""
"✓ Created item: {0}","✓ تم إنشاء الصنف: {0}",""
"✗ Error creating {0}: {1}","✗ خطأ في إنشاء {0}: {1}",""
"Night","ليلة",""
"Unit","وحدة",""
"Room Stay","إقامة في غرفة",""
"Standard room accommodation","إقامة غرفة قياسية",""
"Breakfast Service","خدمة الإفطار",""
"Laundry Service","خدمة الغسيل",""
"Minibar Consumption","استهلاك الميني بار",""

# Role Names
"System Manager","مدير النظام",""
"Hotel Manager","مدير الفندق",""
"Front Desk","مكتب الاستقبال",""
"Housekeeping Manager","مدير النظافة",""
"Accounts Manager","مدير الحسابات",""

# Created/Updated by
"created by","تم الإنشاء بواسطة",""
"updated by","تم التحديث بواسطة",""
"Modified by","معدل بواسطة",""

# Additional Status Messages  
"Task assigned to {0}","تم تعيين المهمة إلى {0}",""
"Failed to assign task: {0}","فشل تعيين المهمة: {0}",""
"Purchase Invoice {0} created","تم إنشاء فاتورة الشراء {0}",""
"Payment for Owner Settlement: ","دفع تسوية المالك: ",""

# Additional validation messages
"Unit ID is required","رقم الوحدة مطلوب",""
"Guest Name is required","اسم الضيف مطلوب",""
"Customer is required to create invoice","العميل مطلوب لإنشاء الفاتورة",""
"Warning: Overlapping rate plans found: {0}. Higher priority plan will be used.","تحذير: تم العثور على خطط أسعار متداخلة: {0}. سيتم استخدام الخطة ذات الأولوية الأعلى.",""
"Created {0} seasonal rate plans","تم إنشاء {0} خطط أسعار موسمية",""
"Created {0} unit types, skipped {1} existing","تم إنشاء {0} أنواع وحدات، تم تخطي {1} موجودة",""

# Workspace specific
"grid-col-2","شبكة-عمودين",""
"grid-col-3","شبكة-ثلاثة-أعمدة",""
"widget","عنصر واجهة",""
"widget-shadow","ظل-عنصر-الواجهة",""
"widget-group","مجموعة-عناصر-الواجهة",""
"widget-head","رأس-عنصر-الواجهة",""
"widget-body","جسم-عنصر-الواجهة",""
"widget-link","رابط-عنصر-الواجهة",""

# End of translation file
